,perovskite_composition,passivating_molecule
4390,Cs0.15FA0.85PbI2.55Br0.45,2CF3-phenethylammonium iodide
4391,(FAPbI3)0.95(MAPbBr3)0.05,3F-PEA
4392,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,formamidinium
4393,Cs0.05(MA0.1FA0.85)PbI3,TiOxNy
4394,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,CF3PEAI2D
4395,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,"b-poly(1,1-difluoroethylene) (b-pV2F)"
4396,FA0.8Cs0.2Pb(I0.7Br0.3)3,lead sulfate
4397,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,2CF3-phenethylammonium iodide
4398,Cs0.05FA0.81MA0.14PbI2.55Br0.45,formamidine acetate
4399,FA0.83Cs0.17Pb0.5Sn0.5I3,CF3PEAI
4400,"MAPbCl3, MAPbBr3, MAPbI3",(BA)2PbI4
4401,(FAPbI3)0.95(MAPbBr3)0.05,4-vinylbenzylammonium bromide
4402,FA0.83MA0.17PbI3,hexyltrimethylammonium bromide
4403,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,4-guanidinobenzoic acid hydrochloride (GBAC)
4404,PEA2(CH3NH3)2Pb2I7,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
4405,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,DTB(3%DEG)
4406,3D/CLP/2D perovskite heterostructure,FA0.83Cs0.17Pb0.5Sn0.5I3
4407,FA0.83MA0.17Pb(I0.6Br0.4)3,(BA)2PbI4
4408,FA0.8Cs0.2Pb(I0.7Br0.3)3,ZrL3
4409,FA0.8Cs0.2Pb(I0.7Br0.3)3,2-TMAI
4410,Cs0.12FA0.8MA0.08PbI1.8Br1.2,Cl-cPP and Cl-bSO
4411,FA1-xMAxPbI3Br0.13,2-(9H-carbazol-9-yl)ethyl phosphonic acid
4412,formamidinium lead iodide,methylamine
4413,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,ortho-(phenylene)di(ethylammonium) iodide
4414,FA0.83Cs0.17PbI3,phenethylammonium iodide (PEAI)
4415,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
4416,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,butylamine
4417,(FAPbI3)0.97(MAPbBr3)0.03,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
4418,formamidinium lead iodide,DTB(3%DEG)
4419,MAPbI3,NaF
4420,FA0.83Cs0.17Pb0.5Sn0.5I3,mixed cations of MDA and Cs
4421,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,ZrL3
4422,FA-based mixed perovskites,phenylethylammonium iodide
4423,phase-pure quantum wells,phenylethylammonium iodide
4424,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,piperazinium iodide
4425,FA0.8Cs0.2Pb(I0.7Br0.3)3,4-trifluoromethyl-phenylammonium
4426,FA0.83MA0.17Pb(I0.6Br0.4)3,(PbI2)2RbCl
4427,Cs0.2FA0.8Pb(I0.6Br0.4)3,cross-linked polymer (CLP)
4428,FA0.15MA0.85PbI3,TiOxNy
4429,"MAPbCl3, MAPbBr3, MAPbI3",pentanamidine hydrochloride
4430,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,3F-PEA
4431,FA0.8Cs0.2Pb(I0.7Br0.3)3,EDAI2
4432,FA0.83MA0.17Pb(I0.6Br0.4)3,pentanamidine hydrochloride
4433,CsFAMAPbI3,Al2O3
4434,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
4435,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,octylammonium iodide
4436,Cs0.1FA0.9PbI2.55Br0.45,piperazinium iodide
4437,Cs0.2FA0.8Pb(I0.6Br0.4)3,formamidinium lead iodide (FAPbI3)
4438,(FAPbI3)1-x(MC)x,4-tert-butyl-benzylammonium iodide
4439,3D/CLP/2D perovskite heterostructure,n-butylamine acetate
4440,FAPbI3:0.95MAPbBr3:0.05,ortho-(phenylene)di(ethylammonium) iodide
4441,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,sulfonyl fluoride-functionalized phenethylammonium salt
4442,Cs0.05(MA0.1FA0.85PbI3)3,4-vinylbenzylamine
4443,FA0.85MA0.15PbI3,benzene
4444,FA0.85Cs0.15PbI2.85I3,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
4445,"MAPbCl3, MAPbBr3, MAPbI3",2-aminoindan hydrochloride
4446,Cs0.05FA0.81MA0.14PbI2.55Br0.45,2-(9H-carbazol-9-yl)ethyl phosphonic acid
4447,FA(MA)PbI3,PEA2ZnX4
4448,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
4449,3D/CLP/2D perovskite heterostructure,anisole
4450,FA0.83MA0.17Pb(I0.6Br0.4)3,2-aminoindan hydrochloride
4451,formamidinium lead iodide,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
4452,FA0.82Cs0.13MA0.05PbI3,benzene
4453,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,Spiro-mF
4454,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,"b-poly(1,1-difluoroethylene) (b-pV2F)"
4455,FA0.83MA0.17PbI3,4-fluoroaniline
4456,FA0.95Cs0.05PbI3,octylammonium iodide
4457,formamidinium-based,hexyltrimethylammonium bromide
4458,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,Choline chloride
4459,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,butylamine
4460,formamidinium lead iodide (FAI) based compound,n-butylammonium bromide (BABr)
4461,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,allylammonium
4462,FA0.95MA0.05Pb(I0.92Br0.08)3,phenethylammonium iodide
4463,formamidinium lead triiodide (FAPbI3),cross-linked polymer (CLP)
4464,formamidinium-based,LiF
4465,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,Spiro-mF
4466,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,Al2O3
4467,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,poly(4-vinylpyridine)
4468,FA-based mixed perovskites,sodium thioglycolate
4469,3D/CLP/2D perovskite heterostructure,"N,N-dimethyl-1,3-propane diammonium diiodide"
4470,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,cross-linked polymer (CLP)
4471,FA0.83MA0.17PbI3,PSP
4472,formamidinium lead iodide (FAPbI3),phenethylammonium iodide (PEAI)
4473,formamidinium lead triiodide (FAPbI3),formamidinium lead iodide (FAPbI3)
4474,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,PEA2ZnX4
4475,FA0.95MA0.05Pb(I0.92Br0.08)3,cyclohexylmethylammonium iodide
4476,3D/0D perovskite,poly(4-vinylpyridine)
4477,FA0.95Cs0.05PbI3,Spiro-mF
4478,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,CsMAFA-8
4479,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
4480,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,Cs2PbI2Cl2
4481,FA0.95MA0.05Pb(I0.92Br0.08)3,azetidinium iodide
4482,Cs0.17FA0.83Pb(I0.6Br0.4)3,formamidinium formate
4483,Cs0.15FA0.85MA0.1PbI2.55Br0.45,PDAI2 and 3MTPAI
4484,FA-based mixed perovskites,2CF3-phenethylammonium iodide
4485,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,AZO/SnOx
4486,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,formamidinium lead iodide (FAPbI3)
4487,(FAPbI3)1-x(MC)x,oxalic acid
4488,Cs0.05(MA0.1FA0.85PbI3)3,piperazinium iodide
4489,PEA2(CH3NH3)2Pb2I7,PEA2ZnX4
4490,FA0.85MA0.1Cs0.05PbI2.9Br0.1,3F-PEA
4491,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,CsMAFA-8
4492,FA0.8Cs0.2Pb(I0.7Br0.3)3,4-tert-butyl-benzylammonium iodide
4493,Cs0.2FA0.8Pb(I0.6Br0.4)3,4-guanidinobenzoic acid hydrochloride (GBAC)
4494,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,CF3PEAI
4495,FA0.98Cs0.02PbI3,hexyltrimethylammonium bromide
4496,Cs0.05FA0.95PbI3,cross-linked polymer (CLP)
4497,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,octylammonium iodide
4498,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),ortho-(phenylene)di(ethylammonium) iodide
4499,FA0.98Cs0.02PbI3,LiF
4500,CsFAMAPbI3,"N,N-dimethyl-1,3-propane diammonium diiodide"
4501,FA0.95Cs0.05PbI3,CsMAFA-8
4502,FA0.8Cs0.2Pb0.5Sn0.5I3,CF3PEAI2D
4503,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,n-butylammonium bromide (BABr)
4504,Cs0.1FA0.9PbI3,sulfonyl fluoride-functionalized phenethylammonium salt
4505,Cs0.1FA0.9PbI3,poly(methyl methacrylate)
4506,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,cross-linked polymer (CLP)
4507,Cs0.05FA0.95PbI3,formamidinium lead iodide (FAPbI3)
4508,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,CF3PEAI2D
4509,formamidinium lead iodide (FAI) based compound,methylammonium chloride
4510,FA0.85MA0.15PbI3,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
4511,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,4-chlorophenylethylammonium iodide
4512,Cs0.15FA0.85MA0.05PbI3,octylammonium iodide
4513,MAPbI3,allylammonium
4514,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,phenethylammonium iodide
4515,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,Oleylammonium iodide
4516,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,mixed cations of MDA and Cs
4517,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,formamidinium lead iodide (FAPbI3)
4518,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,Spiro-mF
4519,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,"1,3-propane diammonium iodide"
4520,Cs0.15FA0.85PbI2.55Br0.45,cyclohexylmethylammonium iodide
4521,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,cyclohexylmethylammonium iodide
4522,Cs0.17FA0.83Pb(I0.6Br0.4)3,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
4523,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,azetidinium iodide
4524,formamidinium lead triiodide (FAPbI3),4-guanidinobenzoic acid hydrochloride (GBAC)
4525,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,benzene
4526,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,CF3PEAI2D
4527,Cs0.12FA0.8MA0.08PbI1.8Br1.2,octylammonium iodide
4528,Cs0.15FA0.85MA0.05PbI3,Spiro-mF
4529,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,"N,N-dimethyl-1,3-propane diammonium diiodide"
4530,Cs0.17FA0.83Pb(I0.6Br0.4)3,benzylhydrazine (BHC)
4531,FA0.8Cs0.2Pb(I0.7Br0.3)3,oxalic acid
4532,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,4-guanidinobenzoic acid hydrochloride (GBAC)
4533,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,hexafluorobenzene
4534,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,sulfonyl fluoride-functionalized phenethylammonium salt
4535,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,(PbI2)2RbCl
4536,Cs0.17FA0.83Pb(I0.6Br0.4)3,isopropylammonium chloride
4537,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,CsMAFA-8
4538,FA0.15MA0.85PbI3,"PEAI, Cl-PEAI, F-PEAI"
4539,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,Oleylammonium iodide
4540,FAPbI3,poly(4-vinylpyridine)
4541,Cs0.15FA0.85MA0.1PbI2.55Br0.45,CF3PEAI
4542,(FAPbI3)0.95(MAPbBr3)0.05,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
4543,PEA2(CH3NH3)2Pb2I7,(PbI2)2RbCl
4544,Cs0.12FA0.8MA0.08PbI1.8Br1.2,Spiro-mF
4545,FA0.98Cs0.02PbI3,4-fluoroaniline
4546,Cs0.15FA0.85MA0.05PbI3,CsMAFA-8
4547,Cs0.17FA0.83Pb(I0.6Br0.4)3,Choline chloride
4548,MA0.07FA0.93PbI3,azetidinium iodide
4549,FA(MA)PbI3,methylammonium chloride
4550,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
4551,Cs0.05FA0.95PbI3,4-guanidinobenzoic acid hydrochloride (GBAC)
4552,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,EDTA
4553,Cs0.2FA0.8Pb(I0.6Br0.4)3,Al2O3
4554,Cs0.1FA0.9PbI3,n-butylammonium bromide (BABr)
4555,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,sodium thioglycolate
4556,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,"1,3-propane diammonium iodide"
4557,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),ortho-(phenylene)di(ethylammonium) iodide
4558,FA0.98Cs0.02PbI3,PSP
4559,Cs0.15FA0.85MA0.1PbI2.55Br0.45,mixed cations of MDA and Cs
4560,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,PDAI2 and 3MTPAI
4561,3D/0D perovskite,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
4562,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,4-guanidinobenzoic acid hydrochloride (GBAC)
4563,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,2-(9H-carbazol-9-yl)ethyl phosphonic acid
4564,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,EDTA
4565,Cs0.12FA0.8MA0.08PbI1.8Br1.2,CsMAFA-8
4566,formamidinium lead iodide (FAI) based compound,n-hexylammonium bromide and n-octylammonium bromide
4567,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,2CF3-phenethylammonium iodide
4568,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
4569,"MAPbCl3, MAPbBr3, MAPbI3",formamidinium formate
4570,FA0.83MA0.17PbI3,piperazinium iodide
4571,FA0.83Cs0.17Pb0.5Sn0.5I3,cross-linked polymer (CLP)
4572,FA0.83MA0.17Pb(I0.6Br0.4)3,formamidinium formate
4573,FA0.85MA0.1Cs0.05PbI2.9Br0.1,benzene
4574,Cs0.05MA0.05FA0.90PbI3,CB-NH2
4575,Cs0.05FA0.9MA0.05PbI2.74Br0.26,hexyltrimethylammonium bromide
4576,FA0.82Cs0.13MA0.05PbI3,butylamine
4577,Cs0.05(MA0.1FA0.85)PbI3,benzene
4578,Cs0.05(MA0.1FA0.85PbI3)3,NH4Cl
4579,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
4580,FA0.83Cs0.17Pb0.5Sn0.5I3,formamidinium lead iodide (FAPbI3)
4581,FA0.82Cs0.13MA0.05PbI3,poly(4-vinylpyridine)
4582,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,CB-NH2
4583,formamidinium lead triiodide (FAPbI3),Al2O3
4584,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
4585,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,"b-poly(1,1-difluoroethylene) (b-pV2F)"
4586,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,n-butylammonium bromide (BABr)
4587,FA-based mixed perovskites,phenethylammonium iodide
4588,phase-pure quantum wells,phenethylammonium iodide
4589,FA(MA)PbI3,none
4590,MAPbI3,octylammonium iodide
4591,Cs0.2FA0.8Pb(I0.6Br0.4)3,n-butylamine acetate
4592,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,FA0.83Cs0.17Pb0.5Sn0.5I3
4593,formamidinium-based,4-vinylbenzylamine
4594,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,Al2O3
4595,formamidinium lead iodide (FAPbI3),poly(methyl methacrylate)
4596,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,hexafluorobenzene
4597,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
4598,FAPbI3:0.95MAPbBr3:0.05,PDAI2 and 3MTPAI
4599,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
4600,MA0.7FA0.3PbI3,Chlorine-capped TiO2
4601,Cs0.05MA0.05FA0.90PbI3,allylammonium (ALA)
4602,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,Chlorine-capped TiO2
4603,FA-based mixed perovskites,cyclohexylmethylammonium iodide
4604,FA0.83Cs0.17PbI3,2-(9H-carbazol-9-yl)ethyl phosphonic acid
4605,(FAPbI3)0.97(MAPbBr3)0.03,ortho-(phenylene)di(ethylammonium) iodide
4606,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,hexafluorobenzene
4607,phase-pure quantum wells,azetidinium iodide
4608,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,allylammonium (ALA)
4609,FA0.95Cs0.05PbI3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
4610,FA(MA)PbI3,n-hexylammonium bromide and n-octylammonium bromide
4611,formamidinium lead iodide (FAPbI3),formamidine acetate
4612,"MAPbCl3, MAPbBr3, MAPbI3","benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
4613,MA0.7FA0.3PbI3,isopropylammonium chloride
4614,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,none
4615,Cs0.2FA0.8Pb(I0.6Br0.4)3,"N,N-dimethyl-1,3-propane diammonium diiodide"
4616,FA0.9Cs0.1PbI3,AZO/SnOx
4617,Cs0.05FA0.95PbI3,Al2O3
4618,FA0.15MA0.85PbI3,benzene
4619,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,hexyltrimethylammonium bromide
4620,"MAPbCl3, MAPbBr3, MAPbI3",benzylhydrazine (BHC)
4621,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,LiF
4622,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,ortho-(phenylene)di(ethylammonium) iodide
4623,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,CF3PEAI
4624,FA0.98Cs0.02PbI3,4-vinylbenzylamine
4625,PEA2(CH3NH3)2Pb2I7,none
4626,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,Al2O3
4627,Cs0.05MA0.05FA0.90PbI3,3F-PEA
4628,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,4-ethyl-1H-pyrrole-2-carboxylic acid
4629,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,n-butylamine acetate
4630,formamidinium lead iodide (FAI) based compound,ferrocenyl-bis-thiophene-2-carboxylate
4631,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,methylammonium chloride
4632,Cs0.05FA0.9MA0.05PbI2.74Br0.26,4-fluoroaniline
4633,formamidinium lead iodide (FAI) based compound,formamidinium
4634,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,2D perovskite
4635,Cs0.17FA0.83Pb(I0.6Br0.4)3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
4636,FA0.85Cs0.15PbI2.85I3,TiOxNy
4637,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,AZO/SnOx
4638,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,n-hexylammonium bromide and n-octylammonium bromide
4639,FA0.83Cs0.17Pb0.5Sn0.5I3,4-guanidinobenzoic acid hydrochloride (GBAC)
4640,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,3F-PEA
4641,Cs0.05MA0.05FA0.90PbI3,4-vinylbenzylammonium bromide
4642,MAPbI3,FA0.83Cs0.17Pb0.5Sn0.5I3
4643,FA0.85MA0.1Cs0.05PbI2.9Br0.1,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
4644,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,anisole
4645,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,4-ethyl-1H-pyrrole-2-carboxylic acid
4646,Cs0.05(MA0.1FA0.85)PbI3,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
4647,formamidinium lead iodide,ortho-(phenylene)di(ethylammonium) iodide
4648,"MAPbCl3, MAPbBr3, MAPbI3",Choline chloride
4649,CsPbI3-xBrx,2-(9H-carbazol-9-yl)ethyl phosphonic acid
4650,3D/0D perovskite,2D perovskite
4651,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,4-vinylbenzylammonium bromide
4652,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,mixed cations of MDA and Cs
4653,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
4654,PEA2(CH3NH3)2Pb2I7,n-hexylammonium bromide and n-octylammonium bromide
4655,Cs0.05FA0.9MA0.05PbI2.74Br0.26,PSP
4656,formamidinium lead triiodide (FAPbI3),"N,N-dimethyl-1,3-propane diammonium diiodide"
4657,FA1-xMAxPbI3Br0.13,"b-poly(1,1-difluoroethylene) (b-pV2F)"
4658,Cs0.05FA0.95PbI3,"PEAI, Cl-PEAI, F-PEAI"
4659,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),PDAI2 and 3MTPAI
4660,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,butylamine
4661,Cs0.15FA0.85PbI2.55Br0.45,4-chlorophenylethylammonium iodide
4662,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,PEA2ZnX4
4663,FAPbI3:0.95MAPbBr3:0.05,Chlorine-capped TiO2
4664,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,LiF
4665,Cs0.17FA0.83Pb(I0.6Br0.4)3,Cl-cPP and Cl-bSO
4666,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,"N,N-dimethyl-1,3-propane diammonium diiodide"
4667,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,TiOxNy
4668,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,methylamine
4669,Cs0.15FA0.85MA0.05PbI3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
4670,formamidinium lead iodide (FAI) based compound,ZrL3
4671,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,4-vinylbenzylammonium bromide
4672,formamidinium lead iodide (FAPbI3),2-(9H-carbazol-9-yl)ethyl phosphonic acid
4673,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,n-butylamine acetate
4674,FA0.98Cs0.02PbI3,piperazinium iodide
4675,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,cross-linked polymer (CLP)
4676,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,DTB(3%DEG)
4677,3D/0D perovskite,methylamine
4678,FA0.8Cs0.2Pb0.5Sn0.5I3,EDTA
4679,FA0.82Cs0.13MA0.05PbI3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
4680,MAPbI3,n-butylamine acetate
4681,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,EDTA
4682,FA(MA)PbI3,formamidinium
4683,3D/0D perovskite,DTB(3%DEG)
4684,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,formamidinium lead iodide (FAPbI3)
4685,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,n-hexyl trimethyl ammonium bromide
4686,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,Oleylammonium iodide
4687,Cs0.12FA0.8MA0.08PbI1.8Br1.2,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
4688,FA0.82Cs0.13MA0.05PbI3,"1,3-propane diammonium iodide"
4689,Cs0.05FA0.95PbI3,"N,N-dimethyl-1,3-propane diammonium diiodide"
4690,FA0.15MA0.85PbI3,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
4691,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,phenethylammonium iodide
4692,MAPbI3,anisole
4693,FA1-xMAxPbI3Br0.13,CF3PEAI
4694,MA0.7FA0.3PbI3,NaF
4695,CsFAMAPbI3,poly(4-vinylpyridine)
4696,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,NaF
4697,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,"N,N-dimethyl-1,3-propane diammonium diiodide"
4698,formamidinium lead iodide (FAI) based compound,EDAI2
4699,Cs0.05FA0.81MA0.14PbI2.55Br0.45,"b-poly(1,1-difluoroethylene) (b-pV2F)"
4700,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,lead sulfate
4701,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,cyclohexylmethylammonium iodide
4702,FA0.9Cs0.1PbI3,sodium thioglycolate
4703,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,AZO/SnOx
4704,FA0.95Cs0.05PbI3,Oleylammonium iodide
