Unnamed: 0,perovskite_composition,electron_transport_layer,pin_nip_structure,hole_transport_layer,passivating_molecule,control_pce,control_voc,treated_pce,treated_voc,test_1,test_2,structure_pin_nip,treated_jsc,treated_ff,test_3,test_4,test_5,test_6,test_7,test_8,test_9,test_10,control_jsc,control_ff,control_pec,treated_eqe,treated_stabilized_pce,control_fill_factor,treated_fill_factor,controljsc,treatedjsc,treated_hysteresis_index,binding_energy,fill_factor,treated_iscc,IUPAC_passivator,passivator_smiles
1084,,SnO2,,,ammonium oxalate (AMO),,,21.4,,"{'test_name': 'thermal stability test', 'temperature': 65, 'time': 400, 'humidity': None, 'retained_percentage_cont': 70, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,ammonium oxalate,C(C(=O)[O-])(=O)[O-].[NH4+].[NH4+]
1085,CsPbI2.85Br0.15,P3CT-N,PIN,PCBM,3-amino-5-bromopyridine-2-formamide (ABF),19.72,1.203,20.8,1.247,"{'test_name': 'Accelerated aging', 'temperature': 85, 'time': 500, 'humidity': 'Nitrogen environment', 'retained_percentage_cont': 89.83, 'retained_percentage_tret': None}","{'test_name': 'Photostability', 'temperature': 25, 'time': 200, 'humidity': 'Ambient air', 'retained_percentage_cont': 60.11, 'retained_percentage_tret': 92.57}",,,,,,,,,,,,,,,,,,,,,,,,,3-amino-5-bromopyridine-2-formamide,NC=1C(=NC=C(C1)Br)C(=O)N
1096,,,,,1-ethyl-3-methylimidazolium acetate ([EMIM]Ac),16.95,1.09,19.29,1.13,"{'test_name': 'ISOS-L', 'temperature': 18, 'time': 240, 'humidity': 30, 'retained_percentage_cont': 75, 'retained_percentage_tret': 95}",,,22.38,0.76,,,,,,,,,,,,,,,,,,,,,,1-ethyl-3-methylimidazolium acetate,C(C)(=O)[O-].C(C)N1C=[N+](C=C1)C
1097,,,,,Acetanilide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acetanilide,C(C)(=O)NC1=CC=CC=C1
1110,,,,,DMSO,,,,,"{'test_name': 'Stability Test', 'temperature': 60, 'time': '24 hours', 'humidity': 50, 'retained_percentage_cont': 85, 'retained_percentage_tret': 75}",,,,,,,,,,,,,,,,,,,,,,,,,,Dimethyl sulfoxide,CS(=O)C
1111,SrF2/TiO2,,,TiO2,SrF2,6.99,13.05,7.58,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,Strontium fluoride,[F-].[Sr+2].[F-]
1112,Sb2Se3,,,,Sulfur,7.69,408.0,8.9,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,[S]
1114,,,,Spiro-OMeTAD,PC,22.14,1.128,24.8,1.181,"{'test_name': 'ISOS-L', 'temperature': 25, 'time': 1370, 'humidity': 'air', 'retained_percentage_cont': 48, 'retained_percentage_tret': 92}",,,,,,,,,,,,,,,,,,,,,,,,,,phosphorylcholine,P(=O)#C[N+](CCO)(C)C
1115,CsPbI2.75Br0.25,,,P3HT,neopentylamine,19.77,1.152,19.77,1.152,"{'test_name': 'ISOS-L or ISOS-T', 'temperature': 25, 'time': 1200, 'humidity': '20% ± 5%', 'retained_percentage_cont': 64.9, 'retained_percentage_tret': 93.2}",,,,,,,,,,,,,,,,,,,,,,,,,,Neopentylamine,C(C(C)(C)C)N
1125,MAPbI3,P3HT and TiO2,PIN,FTO,MAPbI3,26.14,,23.09,,"{'test_name': 'Electron radiation test', 'temperature': None, 'time': '10 16 e per cm²', 'humidity': None, 'retained_percentage_cont': 93, 'retained_percentage_tret': 95}",,,,,,,,,,,,,,,,,,,,,,,,,,methylammonium lead iodide,[Pb](I)I.C[NH3+]
1130,CsPb2Br5,,,,β-Ala,,,12.86,,"{'test_name': 'Transient absorption spectroscopy', 'temperature': None, 'time': 2, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 46.2}",,,,,,,,,,,,,,,,,,,,,,,,,,3-aminopropanoic acid,NCCC(=O)O
1131,,,,,EDTA-2Na,,,25.02,,"{'test_name': 'stability', 'temperature': 25, 'time': 672, 'humidity': 'ambient air (RH < 10%)', 'retained_percentage_cont': 90, 'retained_percentage_tret': 85}",,,,,,,,,,,,,,,,,,,,,,,,,,Disodium ethylenediaminetetraacetate,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)O)CC(=O)O.[Na+].[Na+]
1132,FA0.97Cs0.03PbI3,Spiro-OMeTAD,NIP,PCBM,3-Amino-4-Phenylbutyric Acid Hydrochloride (APH),22.74,1.128,24.14,1.151,"{'test_name': 'Environmental stability', 'temperature': 25, 'time': 5200, 'humidity': 25, 'retained_percentage_cont': 74, 'retained_percentage_tret': 87}",,,,,,,,,,,,,,,,,,,,,,,,,,3-Amino-4-phenylbutyric acid hydrochloride,Cl.NC(CC(=O)O)CC1=CC=CC=C1
1138,α-FAPbI3,SnO2,n-i-p,Spiro-OMeTAD,(NH4)2CrO4,23.64,1.138,25.72,1.177,"{'test_name': 'ISOS-T', 'temperature': 25, 'time': 700, 'humidity': None, 'retained_percentage_cont': 60, 'retained_percentage_tret': 97}",,,,,,,,,,,,,,,,,,,,,,,,,,Ammonium dichromate,[Cr](=O)(=O)([O-])O[Cr](=O)(=O)[O-].[NH4+].[NH4+]
1140,CsPbBr3/ZnS,,,,NBS,,,94.7,,"{'test_name': 'ISOS-D', 'temperature': 120, 'time': 60, 'humidity': 100, 'retained_percentage_cont': 20, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,N-bromosuccinimide,BrN1C(CCC1=O)=O
1141,Cs 0.05 (FAPbI 3 ) 0.85 (MAPbBr 3 ) 0.15,SnO 2,n-i-p,Au,MgO,20.27,1.163,22.74,1.223,"{'test_name': 'Humidity stability test', 'temperature': 35, 'time': 7200, 'humidity': '35% RH', 'retained_percentage_cont': 80, 'retained_percentage_tret': None}","{'test_name': 'Humidity stability test', 'temperature': 60, 'time': 2000, 'humidity': '60% RH', 'retained_percentage_cont': None, 'retained_percentage_tret': 91}",,,,"{'test_name': 'Humidity stability test', 'temperature': 85, 'time': 162, 'humidity': '85% RH', 'retained_percentage_cont': None, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,magnesium oxide,[O-2].[Mg+2]
1143,,,,,4-trifluoromethyl benzoic acid (TBA),,,23.31,,"{'test_name': 'ISOS', 'temperature': None, 'time': 500, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,4-Trifluoromethyl benzoic acid,FC(C1=CC=C(C(=O)O)C=C1)(F)F
1154,,,,,Tm2O3,,,9.9,,"{'test_name': None, 'temperature': 700, 'time': 30, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,thulium oxide,[O-2].[Tm+3].[O-2].[O-2].[Tm+3]
1162,,,,,CuSCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,copper(I) thiocyanate,[Cu]SC#N
1163,,,,,1-dodecanethiol (1-DT),,,,,"{'test_name': 'photoluminescence quantum yield', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 36.6, 'retained_percentage_tret': None}","{'test_name': 'light yield', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 20952}",,,,"{'test_name': 'X-ray detection limit', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 207.5}","{'test_name': 'spatial resolution', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 8.1}",,,,,,,,,,,,,,,,,,,,1-Dodecanethiol,C(CCCCCCCCCCC)S
1164,CsPbIBr2,,,,1-ethyl-3-methylimidazolium iodide,6.96,1.16,10.13,1.24,"{'test_name': 'ambient air', 'temperature': 30, 'time': 816, 'humidity': None, 'retained_percentage_cont': 40, 'retained_percentage_tret': 88}",,,,,,,,,,,,,,,,,,,,,,,,,,1-Ethyl-3-methylimidazolium iodide,[I-].C(C)N1C=[N+](C=C1)C
1170,,,,,acetylcholine chloride (ACh),,,22.98,0.89,"{'test_name': 'Stability test', 'temperature': 25, 'time': 1600, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': 85}",,,,,,,,,,,,,,,,,,,,,,,,,,Acetylcholine chloride,[Cl-].C(C)(=O)OCC[N+](C)(C)C
1175,,,,,NH4Cl,,,17.56,,"{'test_name': 'PCE retention test', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 82, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,ammonium chloride,[Cl-].[NH4+]
1177,FA0.95Cs0.05PbI3,SnO2,NIP,Spiro-OMeTAD,1-butyl-3-methylimidazolium thiocyanate (BPySCN),,,23.01,,"{'test_name': 'Humidity stability', 'temperature': 85, 'time': 600, 'humidity': 85, 'retained_percentage_cont': 65.3, 'retained_percentage_tret': 89.6}","{'test_name': 'Thermal stability', 'temperature': 85, 'time': 500, 'humidity': None, 'retained_percentage_cont': 69.7, 'retained_percentage_tret': 90.1}",,,,"{'test_name': 'Mechanical stability', 'temperature': None, 'time': 5000, 'humidity': 40, 'retained_percentage_cont': 82.1, 'retained_percentage_tret': 89.7}",,,,,,,,,,,,,,,,,,,,,1-Butyl-3-methylimidazolium thiocyanate,[S-]C#N.C(CCC)N1C=[N+](C=C1)C
1179,,ZnO,pin,spiro-OMeTAD,ZnO,4.94,,9.79,,"{'test_name': 'ISOS-LT', 'temperature': 25, 'time': 180, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': 42}",,,,,,,,,,,,,,,,,,,,,,,,,,Zinc oxide,[O-2].[Zn+2]
1181,,,,,Formamidinium (FA),,,,,"{'test_name': 'Bromide System', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 60, 'retained_percentage_tret': None}","{'test_name': 'Iodide System', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 15, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,formamidinium,C(=[NH2+])N
1182,,,,,anethole,17.4,,19.85,,"{'test_name': 'EQE', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}","{'test_name': 'Long-term storage', 'temperature': 25, 'time': 1200, 'humidity': 50, 'retained_percentage_cont': None, 'retained_percentage_tret': 96.4}",,,,"{'test_name': 'Thermal stability', 'temperature': 85, 'time': 600, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 90.1}",,,,,,,,,,,,,,,,,,,,,anethole,C1(=CC=C(C=CC)C=C1)OC
1183,,,,,MgO,,,,,"{'test_name': 'ISOS-D', 'temperature': 500, 'time': 10, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,magnesium oxide,[O-2].[Mg+2]
1187,,,,,3-thiophenemalonic acid (3-TMA),14.9,,16.5,,"{'test_name': None, 'temperature': 30, 'time': None, 'humidity': 50, 'retained_percentage_cont': 16.5, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,3-Thiophenemalonic acid,S1C=C(C=C1)C(C(=O)O)C(=O)O
1189,,,,,3AMPYSnI4,10.91,,13.28,,"{'test_name': 'Stability test', 'temperature': 3000, 'time': '10000 hours', 'humidity': None, 'retained_percentage_cont': 96.0, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,tris(3-aminopropyl)tin iodide,NCCC[Sn](CCCN)(CCCN)I
1192,,,,,3-chloropropylamine-hydrochloride (CPAC),10.04,1.09,14.11,1.23,"{'test_name': 'stability', 'temperature': None, 'time': 1500, 'humidity': '35-40%', 'retained_percentage_cont': 60, 'retained_percentage_tret': 89}",,,,,,,,,,,,,,,,,,,,,,,,,,3-chloropropylamine hydrochloride,Cl.ClCCCN
1193,MAPbI3,TiO2,NIP,PTAA,"MAI, MASCN, MAAc",13.07,1.16,14.98,1.2,"{'test_name': 'ISOS-L', 'temperature': 10, 'time': 700, 'humidity': 30, 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,Methylammonium iodide,[I-].C[NH3+]
1201,,,,,Phenylethylammonium iodide (PEAI),,,17.9,1.08,"{'test_name': 'Penetration-reaction test', 'temperature': 100, 'time': 10, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 95}",,,,,,,,,,,,,,,,,,,,,,,,,,phenylethylammonium iodide,[I-].C1(=CC=CC=C1)CC[NH3+]
1207,CsSnBr3,,,,didodecyldimethylammonium bromide (DDAB),,,,,"{'test_name': 'stability test', 'temperature': 'desiccated conditions', 'time': 'over 50 days', 'humidity': 'controlled', 'retained_percentage_cont': None, 'retained_percentage_tret': '100% (no degradation observed)'}",,,,,,,,,,,,,,,,,,,,,,,,,,didodecyldimethylammonium bromide,[Br-].C(CCCCCCCCCCC)[N+](C)(C)CCCCCCCCCCCC
1218,"CsI (0.6 Br, 0.4) and FA (0.8) MA (0.2) PbI2 Br",PFN-Br,n-i-p,MoO3,Chloroformamidinium,16.0,1.63,22.0,1.88,"{'test_name': 'Stability test', 'temperature': 25, 'time': 100, 'humidity': 'controlled environment', 'retained_percentage_cont': 85, 'retained_percentage_tret': 75}",,,,,,,,,,,,,,,,,,,,,,,,,,,ClC(=[NH2+])N
1220,,,,,1H-Pyrazole-1-carboximidamide hydrochloride (PCH),,,24.62,1.18,"{'test_name': 'ISOS-L', 'temperature': 30, 'time': 1800, 'humidity': '30% RH', 'retained_percentage_cont': 79, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,1H-Pyrazole-1-carboximidamide hydrochloride,Cl.N1(N=CC=C1)C(N)=N
1224,,SnO2,,AgBiS2,3-chloro-1-propanethiol (CPT),7.75,0.476,10.84,0.511,"{'test_name': 'shelf_life', 'temperature': 25, 'time': 145, 'humidity': 20, 'retained_percentage_cont': 99.3, 'retained_percentage_tret': None}","{'test_name': 'operational_stability', 'temperature': 25, 'time': 11, 'humidity': 60, 'retained_percentage_cont': 88.6, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,3-Chloro-1-propanethiol,ClCCCS
1227,,,,,phenethylammonium iodide (PEAI),,,17.27,,"{'test_name': None, 'temperature': 30, 'time': 1920, 'humidity': '30%', 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,2-phenylethylazanium iodide,[I-].C1(=CC=CC=C1)CC[NH3+]
1229,MAPbI3,TiO2,NIP,CuSCN,CuSCN,,,11.0,1.01,"{'test_name': 'Stability test', 'temperature': 30, 'time': 10, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,copper(I) thiocyanate,[Cu]SC#N
1232,Cs0.15FA0.85Pb(I0.85Br0.15)3,PEAI,,spiro-OMeTAD,PEAI,18.2,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phenylethylammonium iodide,[I-].C1(=CC=CC=C1)CC[NH3+]
1239,,ZnO,,PbS-EDT,Iodide,10.7,510.0,,,"{'test_name': 'ISOS-L', 'temperature': 25, 'time': 336, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,,[I-]
1240,,,,,CsI,,,,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,cesium iodide,[I-].[Cs+]
1250,CsPbBr x /I 3-x,,,,Oleylamine iodide and Aniline hydroiodide,,,,,"{'test_name': 'T50', 'temperature': 100, 'time': 240, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,,I.NC1=CC=CC=C1.[I-].C(CCCCCCC\C=C/CCCCCCCC)N
1256,,,,,Triethanolamine borate (TB),,,21.55,1.24,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 2400, 'humidity': 30, 'retained_percentage_cont': 90, 'retained_percentage_tret': 96}","{'test_name': 'ISOS-D', 'temperature': 65, 'time': 288, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 96}",,,,,,,,,,,,,,,,,,,,,,,,,triethanolamine borate,B(O)(O)O.N(CCO)(CCO)CCO
1261,,,,,cyclohexylammonium iodide (CHAI),17.42,1.03,21.35,1.12,"{'test_name': 'ambient stability', 'temperature': None, 'time': 1500, 'humidity': '30 AE 10%', 'retained_percentage_cont': 50.0, 'retained_percentage_tret': 84.5}",,,23.27,82.1,,,,,,,,,,,,,,,,,,,,,,cyclohexylammonium iodide,[I-].C1(CCCCC1)[NH3+]
1270,Rb0.03Cs0.05FA0.90MA0.05PbI3,MeO-2PACz,NIP,NiOx,Tetrafluorosuccinic acid,22.17,1.11,25.92,1.169,"{'test_name': 'thermal_aging', 'temperature': 85, 'time': 600, 'humidity': None, 'retained_percentage_cont': 73, 'retained_percentage_tret': 73}","{'test_name': 'mpp_tracking', 'temperature': None, 'time': 1826, 'humidity': None, 'retained_percentage_cont': 53, 'retained_percentage_tret': 84}",,,,,,,,,,,,,,,,,,,,,,,,,tetrafluorosuccinic acid,FC(C(C(=O)O)(F)F)(C(=O)O)F
1272,FAPbI3,SnO2/FTO,NIP,spiro-OMeTAD,MACl,18.2,0.937,21.1,1.059,"{'test_name': 'stability', 'temperature': '20-25 °C', 'time': '1000 h', 'humidity': '30-60% RH', 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,methylammonium chloride,[Cl-].C[NH3+]
1273,[(FAPbI3)0.87(MAPbBr3)0.13]0.92[CsPbI3]0.08,TiO2,NIP,Spiro-OMeTAD,PbI2,17.82,1100.0,20.68,1134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Lead(II) iodide,[Pb](I)I
1279,,,,,Phenethylammonium iodide (PEAI),,,23.1,1.15,"{'test_name': 'ISOS-L-3', 'temperature': 60, 'time': 1200, 'humidity': None, 'retained_percentage_cont': 93, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,phenethylammonium iodide,[I-].C(CC1=CC=CC=C1)[NH3+]
1283,,,,,THF,,,19.26,,"{'test_name': 'Stability test', 'temperature': 25, 'time': 300, 'humidity': '20-40%', 'retained_percentage_cont': 65, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,tetrahydrofuran,O1CCCC1
1286,,,,,morpholinium iodide (MPI),6.44,0.596,12.04,0.803,"{'test_name': 'ISOS-D', 'temperature': 20, 'time': 250, 'humidity': 35, 'retained_percentage_cont': 77, 'retained_percentage_tret': None}","{'test_name': 'ISOS-L', 'temperature': 20, 'time': 500, 'humidity': None, 'retained_percentage_cont': 35, 'retained_percentage_tret': 71}",,,,,,,,,,,,,,,,,,,,,,,,,morpholinium iodide,[I-].[NH2+]1CCOCC1
1287,,,,PTZ-CPA,PTZ-CPA,,,25.35,1.18,"{'test_name': 'ISOS-L', 'temperature': 40, 'time': 2000, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,Phenothiazine-2-carboxylic acid,C1=C(C=CC=2SC3=CC=CC=C3NC12)C(=O)O
1290,FA0.85MA0.15PbI3,TiO2,PIN,Spiro-OMeTAD,6-Methylnicotinamide (CNA),22.21,1.114,24.33,1.175,"{'test_name': 'Air (Humidity: ≈25%)', 'temperature': 25, 'time': 2000, 'humidity': 25, 'retained_percentage_cont': 80, 'retained_percentage_tret': 91}",,,,,,,,,,,,,,,,,,,,,,,,,,6-methylnicotinamide,CC1=NC=C(C(=O)N)C=C1
1291,MAPbI3,PFNBr,NIP,PCBM,PEA,18.6,1.059,21.49,1.144,"{'test_name': 'Moisture stability', 'temperature': 20, 'time': 600, 'humidity': 20, 'retained_percentage_cont': 57.1, 'retained_percentage_tret': 94.4}","{'test_name': 'Thermal stability', 'temperature': 85, 'time': 400, 'humidity': None, 'retained_percentage_cont': 54.9, 'retained_percentage_tret': 78}",,,,,,,,,,,,,,,,,,,,,,,,,phenylethylammonium,C1(=CC=CC=C1)CC[NH3+]
1295,,,,,trimethylphenylammonium bromide (TPABr3),,,,,"{'test_name': 'stability_test', 'temperature': None, 'time': 600, 'humidity': None, 'retained_percentage_cont': 98, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Trimethylphenylammonium bromide,[Br-].C[N+](C1=CC=CC=C1)(C)C
1296,,SnO2,,,CeO2,20.7,1.06,22.71,1.12,"{'test_name': 'ISOS-D', 'temperature': 'room temperature', 'time': 1700, 'humidity': '5%-8% RH', 'retained_percentage_cont': 19, 'retained_percentage_tret': 77}",,,,,,,,,,,,,,,,,,,,,,,,,,Cerium(IV) oxide,[O-2].[Ce+4].[O-2]
1301,MAPbI3,C60,,BCP,KI,18.5,1.04,20.07,1.06,"{'test_name': None, 'temperature': 40, 'time': 760, 'humidity': None, 'retained_percentage_cont': 61.5, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,potassium iodide,[I-].[K+]
1302,PEA 0.2 FA 0.8 SnI3,PCBM and ICBA,PIN,PEDOT:PSS,Diisopropyl ether (DIE),,,10.14,0.614,"{'test_name': 'Stability test', 'temperature': None, 'time': 60, 'humidity': None, 'retained_percentage_cont': 81.2, 'retained_percentage_tret': 75.4}",,,,,,,,,,,,,,,,,,,,,,,,,,diisopropyl ether,C(C)(C)OC(C)C
1307,FA0.83Cs0.17Pb(I0.75Br0.25)3,,,,3-aminopropyltrimethoxysilane (APTMS),21.5,1.16,86.0,1.16,"{'test_name': 'ISOS-L', 'temperature': 25, 'time': 1000, 'humidity': 'dry', 'retained_percentage_cont': 58, 'retained_percentage_tret': 86}",,,,,,,,,,,,,,,,,,,,,,,,,,3-aminopropyltrimethoxysilane,NCCC[Si](OC)(OC)OC
1309,,,,,2-Anisidine-4-Sulfonic Acid,20.71,1.11,23.06,1.15,"{'stability_type': 'Stability Test 1', 'temperature': 25, 'time': 1000, 'humidity': '20-50', 'retained_proportion_cont': 0.5680000000000001, 'retained_proportion_tret': 0.776}","{'stability_type': 'Stability Test 2', 'temperature': 60, 'time': 300, 'humidity': None, 'retained_proportion_cont': 0.708, 'retained_proportion_tret': 0.854}",,,,,,,,,,,,,,,,,,,,,,,,,,COC=1C(=CC(=CC1)S(=O)(=O)O)N
1312,,,,,SiO2,,717.0,,,"{'test_name': 'SiO2 thickness optimization', 'temperature': 25, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,silicon dioxide,[Si](=O)=O
1314,FAPbI3 0.99-(MAPbBr3) 0.01,SnO2,NIP,Spiro-OMeTAD,HNCO,22.71,1.13,24.41,1.17,"{'test_name': 'Storage in inert atmosphere', 'temperature': 25, 'time': 1200, 'humidity': None, 'retained_percentage_cont': 94, 'retained_percentage_tret': None}","{'test_name': 'Storage in air', 'temperature': 20, 'time': 720, 'humidity': '20% ± 5%', 'retained_percentage_cont': 80, 'retained_percentage_tret': 95}",,,,,,,,,,,,,,,,,,,,,,,,,Isocyanic acid,N=C=O
1332,,,,,cetyltrimethylammonium bromide (CTAB),,,18.84,1.1,"{'test_name': 'Moisture stability', 'temperature': None, 'time': 600, 'humidity': '20-30% RH', 'retained_percentage_cont': 95, 'retained_percentage_tret': 20}","{'test_name': 'Thermal stability', 'temperature': 85, 'time': 300, 'humidity': None, 'retained_percentage_cont': 60, 'retained_percentage_tret': 3.48}",,,,,,,,,,,,,,,,,,,,,,,,,Cetyltrimethylammonium bromide,[Br-].C(CCCCCCCCCCCCCCC)[N+](C)(C)C
1335,Cs0.3DMA0.2MA0.5PbI3,NiOx,NIP,VNPB,MACl,,,21.3,,"{'test_name': 'air_stability', 'temperature': None, 'time': 1900, 'humidity': 40, 'retained_percentage_cont': 92.6, 'retained_percentage_tret': None}","{'test_name': 'thermal_stability', 'temperature': 65, 'time': 250, 'humidity': None, 'retained_percentage_cont': 8.8, 'retained_percentage_tret': None}",,,,"{'test_name': 'photostability', 'temperature': None, 'time': 6, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,methylammonium chloride,[Cl-].C[NH3+]
1338,,,,,5-aminovaleric acid,,,42.9,,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,5-aminovaleric acid,NCCCCC(=O)O
1342,PEA 0.15 FA 0.70 EA 0.15 SnI 2.70 Br 0.30,,,,ErCl3,12.8,0.77,14.0,0.8300000000000001,"{'test_name': 'light', 'temperature': 25, 'time': 1300, 'humidity': 25, 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}","{'test_name': 'air', 'temperature': 25, 'time': 3500, 'humidity': 25, 'retained_percentage_cont': None, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,Erbium(III) chloride,[Cl-].[Er+3].[Cl-].[Cl-]
1344,,SnO2,NIP,,Phosphocholine chloride sodium salt (PCSS),20.55,1.147,,,"{'test_name': 'ISOS-L', 'temperature': 25, 'time': 500, 'humidity': '30-40%', 'retained_percentage_cont': 80, 'retained_percentage_tret': 94}",,,,,,,,,,,,,,,,,,,,,,,,,,Phosphocholine chloride sodium salt,[Na].[Cl-].P(=O)(O)(O)OCC[N+](C)(C)C
1345,,SnO2,,,N-(2-hydroxyethyl) ethylene diamine triacetic acid trisodium salt (HEDTA-3Na),20.82,1.106,23.11,1.156,"{'test_name': 'Stability', 'temperature': 25, 'time': 1600, 'humidity': '20-25%', 'retained_percentage_cont': None, 'retained_percentage_tret': 90}",,,,80.88,,,,,,,,,,,,,,,,,,,,,,Trisodium 2-[bis(carboxylatomethyl)amino]ethyliminodiacetate,C(=O)([O-])CN(CCN(CC(=O)O)CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+]
1351,MASnI3,SnS2,,CuSbS2,SnS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tin(IV) sulfide,[Sn](=S)=S
1352,CsPbBr3,,,,Oleylamine (OLA) and oleylammonium bromide (OLABr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oleylamine and oleylammonium bromide,[Br-].C(CCCCCCC\C=C/CCCCCCCC)[NH3+].C(CCCCCCC\C=C/CCCCCCCC)N
1353,MAPbI3,ZnO,PIN,,p-methoxyphenethylammonium iodide (CH3O-PEAI),6.88,,13.8,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,p-Methoxyphenethylammonium iodide,[I-].COC1=CC=C(CC[NH3+])C=C1
1356,Cs 0.2 FA 0.8 Pb(I 0.6 Br 0.4) 3,C60,PIN,BCP,Imidazolium (IA),18.64,1.31,19.5,1.35,"{'test_name': 'MPP tracking', 'temperature': '25 °C', 'time': '500 hours', 'humidity': 'null mentioned', 'retained_percentage_cont': 20, 'retained_percentage_tret': 93}",,,,,,,,,,,,,,,,,,,,,,,,,,Imidazolium,N1C=[NH+]C=C1
