Unnamed: 0,perovskite_composition,electron_transport_layer,pin_nip_structure,hole_transport_layer,passivating_molecule,control_pce,control_voc,treated_pce,treated_voc,test_1,test_2,structure_pin_nip,treated_jsc,treated_ff,test_3,test_4,test_5,test_6,test_7,test_8,test_9,test_10,control_jsc,control_ff,control_pec,treated_eqe,treated_stabilized_pce,control_fill_factor,treated_fill_factor,controljsc,treatedjsc,treated_hysteresis_index,binding_energy,fill_factor,treated_iscc,IUPAC_passivator
1516,,,,,BAH2,,,25.19,1.22,"{'test_name': 'ambient air stability', 'temperature': 25, 'time': 60, 'humidity': None, 'retained_percentage_cont': 94.3, 'retained_percentage_tret': None}","{'test_name': 'high temperature stability', 'temperature': 85, 'time': 200, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,"{'test_name': 'MPP tracking', 'temperature': None, 'time': 500, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 91}",,,,,,,,,,,,,,,,,,,,,
1517,,,,,"Multi-N-site molecules (e.g., hexamethylenetetramine (HMTA), 4-dimethylaminopyridine (DMAP), 1,8-octanediamine dihydroiodide (ODADI), phenylhydrazine iodide with an amino pair, ethylammonium (EA), n-propylammonium (PA), butylammonium (BA), 2-(2-pyridyl) ethylamine (2-PyEA))",,,23.3,,"{'test_name': 'Humidity stability', 'temperature': 30, 'time': 3000, 'humidity': 30, 'retained_percentage_cont': 92, 'retained_percentage_tret': 88}",,,,,,,,,,,,,,,,,,,,,,,,,,
1518,FAPbI3,SnO2,NIP,p-PTZMes-E-PTZOD-E,p-PTZMes-E-PTZOD-E,19.4,1.11,25.1,1.18,"{'test_name': 'ISOS-D', 'temperature': 85, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
1519,,,,,O1,,,,,"{'test_name': 'T80 lifetime', 'temperature': None, 'time': 1000, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,
1520,FAPbI3,SnO2,n-i-p,Spiro or PTAA,PEAI,23.67,,24.22,,"{'test_name': 'Stability test', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Phenylethylammonium iodide
1521,,,,,Sodium (Na),23.4,,16.8,,"{'test_name': 'ISOS-D', 'temperature': 300, 'time': '24 hours', 'humidity': None, 'retained_percentage_cont': 70, 'retained_percentage_tret': 50}",,,,,,,,,,,,,,,,,,,,,,,,,,Sodium
1522,CsPbI2Br,SnO2,NIP,NiOx,P3HT,,,,,"{'test_name': 'Stability test', 'temperature': 25, 'time': 4000, 'humidity': 15, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,
1523,,SnO2,n-i-p,,(2-aminoethyl)phosphonic acid (AEP),26.4,1.171,25.98,,"{'test_name': 'ISOS-L-1I', 'temperature': 20, 'time': 1400, 'humidity': '20% humidity', 'retained_percentage_cont': 80, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,2-Aminoethylphosphonic acid
1524,MAPbI3,TiO2,NIP,spiro-OMeTAD,TMSI,18.91,1.065,21.03,1.127,"{'test_name': 'ambient_stability', 'temperature': 22, 'time': 50, 'humidity': 35, 'retained_percentage_cont': 11.03, 'retained_percentage_tret': 92.7}",,,,,,,,,,,,,,,,,,,,,,,,,,Trimethylsilyl iodide
1525,FAPbI3,Spiro-OMeTAD,PIN,PCBM,L-Arg,22.55,,24.62,,"{'test_name': 'Humidity stability', 'temperature': 45, 'time': 2000, 'humidity': 5, 'retained_percentage_cont': 35, 'retained_percentage_tret': 85}","{'test_name': 'Thermal stability', 'temperature': 85, 'time': 792, 'humidity': None, 'retained_percentage_cont': 27, 'retained_percentage_tret': 85}",,,,"{'test_name': 'UV stability', 'temperature': None, 'time': 30, 'humidity': None, 'retained_percentage_cont': 50, 'retained_percentage_tret': 83}",,,,,,,,,,,,,,,,,,,,,L-arginine
1526,,,,,N-acetyl-L-phenylalanine (APO),25.05,,20.35,,"{'test_name': 'ambient stability', 'temperature': 25, 'time': 40, 'humidity': 20, 'retained_percentage_cont': 94, 'retained_percentage_tret': None}","{'test_name': 'light soaking stability', 'temperature': 25, 'time': 150, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 93}",,,,,,,,,,,,,,,,,,,,,,,,,N-Acetyl-L-phenylalanine
1527,,SnO2,,,Histidine (HIS),21.84,1.087,23.11,1.11,"{'test_name': 'Stability test', 'temperature': 70, 'time': 1000, 'humidity': '70 %', 'retained_percentage_cont': 79, 'retained_percentage_tret': 94}",,,,,,,,,,,,,,,,,,,,,,,,,,Histidine
1528,FAPbI3,SnO2,n-i-p,SBF-FC and TBPHTFSI,"Triphenylmethane-4,4',4''-triisocyanate (TTI)",23.7,1.15,25.6,1.195,"{'test_name': 'Thermal aging', 'temperature': 85, 'time': 500, 'humidity': '45-85% RH', 'retained_percentage_cont': 21.0, 'retained_percentage_tret': 23.5}","{'test_name': 'MPP tracking', 'temperature': 45, 'time': 500, 'humidity': 'N2 environment', 'retained_percentage_cont': 88, 'retained_percentage_tret': 97}",,,,"{'test_name': 'J-V measurements', 'temperature': 85, 'time': 500, 'humidity': '45-85% RH', 'retained_percentage_cont': 3.4, 'retained_percentage_tret': 1.8}",,,,,,,,,,,,,,,,,,,,,triphenylmethane-4
1530,FACsPbI3,,,,AT,23.74,1.15,25.71,1.18,"{'test_name': 'aging', 'temperature': 2000, 'time': '24 hours', 'humidity': 'air', 'retained_percentage_cont': 91.0, 'retained_percentage_tret': None}","{'test_name': 'MPP tracking', 'temperature': 85, 'time': 1000, 'humidity': '30% RH', 'retained_percentage_cont': 31.5, 'retained_percentage_tret': 95.2}",,,,,,,,,,,,,,,,,,,,,,,,,
1531,FAMACsPb(I 0.5 Br 0.5)3,ITO/PEDOT:PSS,NIP,PC 60 BM/C 60,BTP-eC9-4F and L8-BO,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,,,,,Al2O3,,,25.7,1.19,"{'test_name': None, 'temperature': 25, 'time': 600, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,null
1533,,SnO2,,spiro-OMeTAD,BMIMPF6,19.52,1.177,21.74,1.194,"{'test_name': 'long-term stability in ambient air', 'temperature': 25, 'time': 3500, 'humidity': None, 'retained_percentage_cont': 61.6, 'retained_percentage_tret': 77.5}",,,,,,,,,,,,,,,,,,,,,,,,,,1-Butyl-3-methylimidazolium hexafluorophosphate
1534,,,,,Rhodamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,,,,,ethyl thioglycolate,,,22.42,,"{'test_name': 'ambient stability', 'temperature': None, 'time': 800, 'humidity': None, 'retained_percentage_cont': 81, 'retained_percentage_tret': 93}","{'test_name': 'thermal stability', 'temperature': 60, 'time': 1500, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 80.4}",,,,,,,,,,,,,,,,,,,,,,,,,Ethyl 2-mercaptoacetate
1536,,,,,"1-[Bis(trifluoromethanesulfonyl)methyl]-2,3,4,5,6-pentafluorobenzene (TFSP)",23.32,,25.46,,"{'test_name': 'Stability test', 'temperature': 'nonpackaged air', 'time': 3000, 'humidity': 45, 'retained_percentage_cont': 78.03, 'retained_percentage_tret': 91.16}","{'test_name': 'Stability test', 'temperature': 'nonpackaged air', 'time': 3000, 'humidity': 45, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,1-[Bis(trifluoromethanesulfonyl)methyl]-2
1537,,MAPbI3,PIN,HTM,"E1, F1, C2, D2, E2, F2",,,,,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 1000, 'humidity': 50, 'retained_percentage_cont': 85, 'retained_percentage_tret': 75}","{'test_name': 'ISOS-L', 'temperature': 60, 'time': 500, 'humidity': 30, 'retained_percentage_cont': 90, 'retained_percentage_tret': 80}",,,,"{'test_name': 'ISOS-T', 'temperature': 40, 'time': 800, 'humidity': 70, 'retained_percentage_cont': 70, 'retained_percentage_tret': 65}","{'test_name': 'ISOS-LC', 'temperature': 30, 'time': 1200, 'humidity': 60, 'retained_percentage_cont': 95, 'retained_percentage_tret': 85}","{'test_name': 'ISOS-LT', 'temperature': 20, 'time': 1500, 'humidity': 50, 'retained_percentage_cont': 75, 'retained_percentage_tret': 70}","{'test_name': 'ISOS-T', 'temperature': 50, 'time': 900, 'humidity': 40, 'retained_percentage_cont': 80, 'retained_percentage_tret': 75}",,,,,,,,,,,,,,,,,,
1538,Cs0.1 FA0.6 MA0.3 Sn0.5 Pb0.5 I3,C60,PIN,PEDOT:PSS,C-PCBSD,20.5,0.84,23.4,0.88,"{'test_name': 'ISOS-T', 'temperature': 1000, 'time': 2000, 'humidity': 'Air', 'retained_percentage_cont': 96, 'retained_percentage_tret': 97}",,,,,,,,,,,,,,,,,,,,,,,,,,
1539,,,,,methylamine formate (MAFA),,,21.13,,"{'test_name': 'aging in air at 85% RH for 1000 h', 'temperature': 25, 'time': 1000, 'humidity': 85, 'retained_percentage_cont': 92.6, 'retained_percentage_tret': None}","{'test_name': 'aging at 75°C with 40 ± 5% RH for 225 h', 'temperature': 75, 'time': 225, 'humidity': 40, 'retained_percentage_cont': 12, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,
1540,,,,,"Europium (Eu^3+/Eu^2+) and sulfonate anthraquinone-based molecules, and thiol/disulfide couples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,CsPbI2Br,SnO2,NIP,Spiro-OMeTAD,Choline chloride (ChCl),13.66,1.199,17.06,1.315,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 500, 'humidity': 'dry', 'retained_percentage_cont': 92, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,choline chloride
1543,,,,p-A5HP-E-POZOD-E,PEAI,,,25.5,,"{'test_name': 'ISOS-D', 'temperature': 85, 'time': 1000, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Phenylethylammonium iodide
1544,,,,,Methylammonium chloride (MACl),,,,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Methylammonium chloride
1545,,,,,PEAI,,,,,"{'test_name': 'ISOS-D', 'temperature': 150, 'time': 20, 'humidity': None, 'retained_percentage_cont': 74, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,Phenylethylammonium iodide
1546,Cs0.05 FA0.95 PbI2.94 Br0.06,SnOx,inverted,Ag,PDINN,24.1,1.19,25.1,1.19,"{'test_name': 'ISOS-D', 'temperature': 85, 'time': 1000, 'humidity': 85, 'retained_percentage_cont': 95, 'retained_percentage_tret': 95}","{'test_name': 'ISOS-L', 'temperature': 65, 'time': 2000, 'humidity': None, 'retained_percentage_cont': 95, 'retained_percentage_tret': 95}",,,,"{'test_name': 'ISOS-O', 'temperature': 65, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 95, 'retained_percentage_tret': 95}",,,,,,,,,,,,,,,,,,,,,
1547,,SnO2,,,Carboxymethyldextran sodium,23.09,1.14,24.73,1.158,"{'test_name': 'ISOS-L', 'temperature': 25, 'time': 1000, 'humidity': '20-30%', 'retained_percentage_cont': 86, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
1548,,,,PEDOT:PSS,PEDOT:PSS,,,10.8,,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 1000, 'humidity': 50, 'retained_percentage_cont': 70, 'retained_percentage_tret': 60}",,,,,,,,,,,,,,,,,,,,,,,,,,PEDOT:PSS
1549,,,,,Nafion,,,,,"{'test_name': 'Long-term degradation test', 'temperature': 'Room temperature (20°C)', 'time': '176 days', 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Nafion
1550,,,,,Cerium and Lanthanum ion solution (2:1 ratio at 3 g/L total concentration),,,,,"{'test_name': 'Salt fog chamber corrosion test', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
1551,,,,,v-spiro,,,24.54,1.173,"{'test_name': 'Humidity stability test', 'temperature': 60, 'time': 2000, 'humidity': 60, 'retained_percentage_cont': 90, 'retained_percentage_tret': 90}","{'test_name': 'Light exposure stability test', 'temperature': 23, 'time': 1250, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 95}",,,,,,,,,,,,,,,,,,,,,,,,,
1552,,NiOx,,FHTM,FHTM,20.91,1.1,25.58,1.18,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 93, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
1553,FA 1-x MA x PbI 3,TiO2,NIP,mp-TiO2,Colloidal Carbon Quantum Dots (CQDs),20.01,1.06,20.39,1.07,"{'test_name': 'UV degradation in air', 'temperature': 25, 'time': 100, 'humidity': 'ambient', 'retained_percentage_cont': 40, 'retained_percentage_tret': 94}",,,,,,,,,,,,,,,,,,,,,,,,,,
1554,PbI2 and CH3NH3I,SnO2,NIP,spiro-OMeTAD and BQX-1,BQX-1,17.6,1.05,19.4,1.06,"{'test_name': 'ISOS-L', 'temperature': 30, 'time': 240, 'humidity': 65, 'retained_percentage_cont': 88.1, 'retained_percentage_tret': 91.8}",,,,,,,,,,,,,,,,,,,,,,,,,,
1556,Cs 0.05 FA 0.95 PbI 3,MeO-4PACz,NIP,PCBM,AMP,20.97,1.07,25.35,1.17,"{'test_name': 'MPP tracking', 'temperature': 60, 'time': 1000, 'humidity': 'N2', 'retained_percentage_cont': 81.4, 'retained_percentage_tret': 92.8}",,,,,,,,,,,,,,,,,,,,,,,,,,
1557,,,,,"β-poly(1,1-difluoroethylene)",22.3,1.13,24.6,1.18,"{'test_name': 'ISOS-L-1', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 84, 'retained_percentage_tret': 96}",,,,,,,,,,,,,,,,,,,,,,,,,,
1558,,,,,Diethyl ether (DEE),26.0,,33.0,,"{'test_name': 'Ambient air exposure', 'temperature': 25, 'time': 24, 'humidity': 30, 'retained_percentage_cont': 85, 'retained_percentage_tret': 85}",,,,,,,,,,,,,,,,,,,,,,,,,,diethyl ether
1559,,,,,Cyrene,,,23.13,1.205,"{'test_name': 'ISOS-L-2', 'temperature': 350, 'time': 350, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 89}",,,,,,,,,,,,,,,,,,,,,,,,,,
1562,,,,,COF ICZ,,,25.14,1.181,"{'test_name': 'ISOS-D', 'temperature': 1000, 'time': 1000, 'humidity': 20, 'retained_percentage_cont': 97, 'retained_percentage_tret': 95}",,,,,,,,,,,,,,,,,,,,,,,,,,
1563,FAPbI3,Ce-doped SnO2,NIP,spiro-OMeTAD,Ce-doped SnO2,14.66,1.08,15.77,1.08,"{'test_name': 'ISOS-L', 'temperature': 60, 'time': 24, 'humidity': 50, 'retained_percentage_cont': 95, 'retained_percentage_tret': 85}",,,,,,,,,,,,,,,,,,,,,,,,,,
1565,,,,,Intrinsic amorphous silicon (i-a-Si:H) with intermediate hydrogen plasma treatment (HPT),,,23.81,742.9,"{'test_name': 'ISOS-L', 'temperature': 25, 'time': 8, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 100}","{'test_name': 'ISOS-L', 'temperature': 25, 'time': 18, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 100}",,,,"{'test_name': 'ISOS-L', 'temperature': 25, 'time': 28, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,
1566,MAPbI3,SnO2,PIN,Spiro-OMeTAD,Glycine,,,93.0,,"{'test_name': None, 'temperature': 25, 'time': 30, 'humidity': 30, 'retained_percentage_cont': 61, 'retained_percentage_tret': 93}",,,,,,,,,,,,,,,,,,,,,,,,,,aminoethanoic acid
1567,Ag3BiI6,TiO2 (c-TiO2 and m-TiO2),n-i-p,Spiro-OMeTAD,CsI,1.94,,2.27,,"{'test_name': 'Stability under air and humidity', 'temperature': 25, 'time': 222, 'humidity': '50% RH', 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,cesium iodide
1569,,,,,dibenzo-18-crown-6,10.9509,,14.08,1.26,"{'test_name': 'ISOS-L', 'temperature': 1000, 'time': '1000 h', 'humidity': 'atmospheric', 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,Dibenzo-18-crown-6
1571,,SnO2,,,BIn-SnO2,18.36,1.08,20.05,1.12,"{'test_name': 'N/A', 'temperature': 40, 'time': 770, 'humidity': '40% relative humidity', 'retained_percentage_cont': 90, 'retained_percentage_tret': 90}","{'test_name': 'N/A', 'temperature': 40, 'time': 30, 'humidity': '40% relative humidity', 'retained_percentage_cont': 85, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,
1573,CsPbI2.75Br0.25,,,,2-(thiocyanomethylthio)benzothiazole (TCMTB),16.06,1.13,17.88,1.19,"{'test_name': 'ISOS-D', 'temperature': 85, 'time': 500, 'humidity': None, 'retained_percentage_cont': 32, 'retained_percentage_tret': 66}","{'test_name': 'ISOS-L', 'temperature': 30, 'time': 720, 'humidity': None, 'retained_percentage_cont': 83, 'retained_percentage_tret': 91}",,,,"{'test_name': 'ISOS-T', 'temperature': 85, 'time': 500, 'humidity': None, 'retained_percentage_cont': 51, 'retained_percentage_tret': 79}",,,,,,,,,,,,,,,,,,,,,2-(Thiocyanomethylthio)benzothiazole
1574,Cs0.05 FA0.875 MA0.075 PbI2.785 Br0.215,MeO-2PACz,NIP,PC61BM,PPABr,20.55,1.06,23.15,1.15,"{'test_name': None, 'temperature': None, 'time': 1117, 'humidity': None, 'retained_percentage_cont': 10, 'retained_percentage_tret': 97}",,,,,,,,,,,,,,,,,,,,,,,,,,
1575,,,,,PPDC,,,,,"{'test_name': 'stability_test', 'temperature': None, 'time': 262, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,
1576,,,,,Al2O3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null
1577,,,,,"2D metal-halide perovskite (L2PbCl4, L2PbBr4, L2CdCl4)",,,,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
1578,,,,,NDI-CL,,,12.28,1.08,"{'test_name': 'Thermal stability', 'temperature': 335, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}","{'test_name': 'Solvent resistance', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,
1579,,,,,FM5,11.77,,15.05,,"{'test_name': 'stability', 'temperature': 300, 'time': 300, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,
1580,Cs0.05FA0.85MA0.1PbI2.91Br0.09,ITO,PIN,Me-2PACz,1-(4-Fluorophenyl) biguanide hydrochloride (F-BHCl),22.41,1.136,25.14,1.18,"{'test_name': 'Storage', 'temperature': 'room temperature', 'time': '1000 h', 'humidity': 'N2-filled glovebox', 'retained_percentage_cont': 94.2, 'retained_percentage_tret': None}","{'test_name': 'Thermal', 'temperature': '85 °C', 'time': '1000 h', 'humidity': 'N2-filled glovebox', 'retained_percentage_cont': 58.2, 'retained_percentage_tret': 74.43}",,,,"{'test_name': 'Operation', 'temperature': 'AM1.5 illumination', 'time': '1000 h', 'humidity': 'N2-filled glovebox', 'retained_percentage_cont': 60.3, 'retained_percentage_tret': 92.9}",,,,,,,,,,,,,,,,,,,,,1-(4-fluorophenyl)biguanide hydrochloride
1581,Cs0.05 MA0.1 FA0.85 PbI2.9Br0.1 Á0.05PbI2,spiro-MeOTAD,n-i-p,Au,1-phenylguanidine (PGua),20.98,1.078,24.62,1.181,"{'test_name': 'stability under MPPT', 'temperature': 'room temperature', 'time': 1150, 'humidity': 'N2 atmosphere', 'retained_percentage_cont': 95, 'retained_percentage_tret': 1}","{'test_name': 'thermal stability', 'temperature': 85, 'time': 1200, 'humidity': 'N2 atmosphere', 'retained_percentage_cont': 50, 'retained_percentage_tret': 92}",,,,,,,,,,,,,,,,,,,,,,,,,1-phenylguanidine
1582,,SnO2,,,3-Hydroxytyramine hydrochloride,20.3,1.038,22.63,1.068,"{'test_name': 'stability in air', 'temperature': 25, 'time': 1400, 'humidity': 40, 'retained_percentage_cont': 80, 'retained_percentage_tret': None}","{'test_name': 'stability in nitrogen', 'temperature': 85, 'time': 700, 'humidity': None, 'retained_percentage_cont': 30, 'retained_percentage_tret': 82}",,,,,,,,,,,,,,,,,,,,,,,,,3-Hydroxytyramine hydrochloride
1584,,TiO2,,CuI,Phosphorus tetrabenzotriazacorrole dye (PTBC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,,,,,"1,6-hexylenediphosphonic acid (HDPA)",,,,,"{'test_name': 'QFLS', 'temperature': 298, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,1
1589,,,,,Guanidine thiocyanate (GASCN),,,,,"{'test_name': 'MPP tracking', 'temperature': None, 'time': 500, 'humidity': None, 'retained_percentage_cont': 89, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,guanidine thiocyanate
1590,,,,,ammonium benzenesulfonate (ABS),,,15.0,,"{'test_name': 'stability test', 'temperature': 20, 'time': 216, 'humidity': 20, 'retained_percentage_cont': 81.1, 'retained_percentage_tret': 98.5}",,,,,,,,,,,,,,,,,,,,,,,,,,Ammonium benzenesulfonate
1591,CsPbIBr2,TiO2,NIP,NiO,Reduced Graphene Oxide (rGO),16.73,1.554,18.92,1.531,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Reduced graphene oxide
1592,,,,,BTP1,,,,,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': '30 days', 'humidity': '50-75% relative humidity', 'retained_percentage_cont': 98, 'retained_percentage_tret': 88}",,,,,,,,,,,,,,,,,,,,,,,,,,BTP1
1593,,,,,4-trifluoromethylphenylhydrazine hydrochloride (TFPHCl),,,23.09,0.88,"{'test_name': 'MPP tracking', 'temperature': 25, 'time': 780, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}","{'test_name': 'Long-term stability', 'temperature': 25, 'time': 450, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,4-trifluoromethylphenylhydrazine hydrochloride
1594,FAPbI3 0.992 (MAPbBr3 0.08),SnO2,,Spiro-OMeTAD,Allicin,22.87,1.11,25.07,1.16,"{'stability_type': 'Operational stability', 'temperature': '15-25 °C', 'time': 1000, 'humidity': 'N2 atmosphere', 'retained_proportion_cont': 0.9451, 'retained_proportion_tret': None}",,PIN,,,,,,,,,,,,,,,,,,,,,,,,Allicin
1595,,,,,4-amidinopyridine (4AP),,,,,"{'test_name': 'Stability test', 'temperature': 50, 'time': 1600, 'humidity': None, 'retained_percentage_cont': 59, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,4-amidinopyridine
1597,CH3NH3PbI3:VCuS,TiO2,NIP,Spiro-OMeTAD,Vanadium Copper Sulfide (VCuS),,,15.11,1.043,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,Cs2AgBiBr6 with 5% PF,TiO2,PIN,spiro-OMeTAD,PF,3.75,0.91,4.26,0.93,,,,5.73,,,,,,,,,,5.14,,,,,,,,,,,,,
1599,FAPbI3 (0.95) and MAPbBr3 (0.05),SnO2,n-i-p,spiro-OMeTAD,4-methoxyphenethylamine (MPA),19.77,1.11,22.61,1.14,"{'test_name': 'Stability test', 'temperature': 25, 'time': 50, 'humidity': 'Ambient', 'retained_percentage_cont': 85, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,4-methoxyphenylethanamine
1600,Cs 0.05 FA 0.95 PbI 3,,,,MA,,,24.29,,"{'test_name': 'stability test', 'temperature': 53, 'time': 900, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
1601,,,,,Nafion,,,23.03,,"{'test_name': 'Stability test under encapsulation', 'temperature': None, 'time': 400, 'humidity': None, 'retained_percentage_cont': 78.9, 'retained_percentage_tret': 78.9}",,,,,,,,,,,,,,,,,,,,,,,,,,Nafion
1602,CsPbI3,PEDOT:PSS,NIP,PCBM,Ethacridine Lactate (EAL),,,21.08,1.2,"{'test_name': 'MPP tracking', 'temperature': 45, 'time': 600, 'humidity': None, 'retained_percentage_cont': 98, 'retained_percentage_tret': None}","{'test_name': 'Thermal stability', 'temperature': 25, 'time': 1680, 'humidity': None, 'retained_percentage_cont': 70, 'retained_percentage_tret': 95}",,,,,,,,,,,,,,,,,,,,,,,,,
1603,,TiO2,,,Lithium-doped TiO2,,,,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
1605,,,,,AIV,,,11.42,,"{'test_name': 'Thermal stability', 'temperature': 85, 'time': 720, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,
1606,,,,,bis((3-methyloxetan-3-yl)methyl) malonate-C60 monoadduct (BCM),23.25,1.171,25.89,1.183,"{'test_name': 'MPP tracking', 'temperature': 60, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 78.6, 'retained_percentage_tret': 97.8}",,,,,,,,,,,,,,,,,,,,,,,,,,
1607,,,,,methylammonium pyridine-2-carboxylic (MAPyA),21.26,1.11,24.06,1.21,"{'test_name': 'Humidity stability', 'temperature': 50, 'time': 1500, 'humidity': 60, 'retained_percentage_cont': 30, 'retained_percentage_tret': 93}","{'test_name': 'Light soaking stability', 'temperature': 25, 'time': 1480, 'humidity': None, 'retained_percentage_cont': 5, 'retained_percentage_tret': 87}",,,,,,,,,,,,,,,,,,,,,,,,,Methylammonium pyridine-2-carboxylate
1608,CH3NH3PbI3,"Zn(O 0.3, S 0.7)",,CuI,"Zn(O 0.3, S 0.7)",,,19.81,,"{'test_name': 'ISOS-D', 'temperature': 1000, 'time': '1000 hours', 'humidity': None, 'retained_percentage_cont': 84.42, 'retained_percentage_tret': 84.79}",,,,,,,,,,,,,,,,,,,,,,,,,,
1609,,,,,Triphenylsulfonium triflate,,,23.88,,"{'test_name': None, 'temperature': 24, 'time': 1500, 'humidity': '20-30%', 'retained_percentage_cont': None, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,triphenylsulfonium trifluoromethanesulfonate
